product_title,Brand,RAM,Storage SSD,Windows,Color,Price,Rating,Processor,Screen
"Lenovo ThinkPad E14 Intel Core i7 13th Gen 14"" WUXGA IPS 300 Nits Thin and Light Laptop (16GB RAM/512GB SSD/DOS/Backlit Keyboard/Fingerprint/Arctic Grey/ 1Y Onsite/1.41 kg), 21JKS1FR00",Lenovo,16GB,16GB ,,,82490,4.0,i7,
"ASUS Zenbook 14,Intel Core Ultra 7 (Series 2), Intel Arc iGPU,32GB,1TB,3K OLED Touch Screen,14"",Windows 11,M365 Basic (1Year)*,Office 2024,Ponder Blue,1.28 kg UX3405CA-PZ163WS, Thin & Light Laptop",ASUS,32GB,32GB,Windows 11,,114990,4.1,,
"HP Omen, 14th Gen Intel Core i9-14900HX, 8GB RTX 5060, 24GB DDR5(Upgradeable) 1TB SSD, 165Hz, 2k WUXGA, 3ms, 400 nits, 16''/40.6cm, Win11, M365* Office24, Black, 2.43kg, am0279TX, RGB, Gaming Laptop",HP,8GB,8GB ,Windows 11,,164490,3.6,i9,
"HP 15, 13th Gen Intel Core i5-1335U (16GB DDR4,512GB SSD) FHD, Anti-Glare,Micro-Edge, 15.6''/39.6cm, Win11, M365(1yr)* Office24, Silver,1.59kg, fd0467tu, Iris Xe, FHD Camera w/Shutter, Backlit Laptop",HP,16GB,16GB ,Windows 11,,54990,3.9,i5,
Thomson NEO 14.1 Inch IN-P14C Intel Celeron Dual Core N4020 Processor & Window 11 Notebook (8 GB RAM DDR4/ 256 GB SSD/Numeric Touch Pad/1MP Webcam/Silver),Thomson,8GB,8 GB ,,,14990,3.0,,14.1
"Dell 15, Intel Core i3 13th Gen -1305U, 16GB DDR4, 512GB SSD, FHD, 15.6""/39.6cm, Windows 11, Office H&S 2024, Carbon Grey, 1.66Kg, [Vostro 3530], Intel UHD Graphics, Narrow Border, Thin & Light Laptop",Dell,16GB,16GB ,Windows 11,,42990,3.9,i3,
"HP Smartchoice OmniBook 5 (Previously Pavilion) 50 TOPS, AMD Ryzen AI 7 350 (16GB LPDDR5X, 512GB SSD) WUXGA 2K, Touch, 16''/40.6cm, Win11,Office24, Silver, 1.8kg, ag1048au, Next-Gen AI Copilot+ Laptop",HP,16GB,16GB ,Windows 11,,80990,4.0,,
"HP Omen, Intel Core Ultra 9 285H, 8GB RTX 5070, 32GB DDR5, 1TB SSD, 165Hz, 2k WUXGA, 3ms, 400 nits, 16''/40.6cm, Win11, M365* Office24, Black, 2.42kg, an0012TX, Unleashed Mode, RGB, AI Gaming Laptop",HP,8GB,8GB ,Windows 11,,177990,4.5,,
"acer Aspire 3, Intel Core Celeron N4500, 12GB LPDDR4X RAM, 512GB SSD, HD, 15.6""/39.62cm, Windows 11 Home, Pure Silver, 1.5KG, A325-45, Thin and Light Laptop",acer,12GB,12GB ,Windows 11,,31999,3.4,,
"Lenovo IdeaPad Slim 3, 12th Gen Intel Core i5-12450H (16GB LPDDR5, 512GB SSD), Anti-glare, FHD 15.6""(39.6cm), Win 11, Office Home 2024, Arctic Grey, 1.62Kg, 83ER00MDIN, Thin & Light, Backlit KB Laptop",Lenovo,16GB,16GB ,Windows 11,,51525,4.2,i5,
Ultimus APEX5 Laptop Intel core i5 12th Gen 1235U Laptop 8GB RAM 512GB SSD Expandable~1TB FHD IPS 14.1 Win 11 Home ‎DDR4 SDRAM 3xUSB ‎SD Card Slot Iris Xe Graphics MS Office 365 (Trial) Silver,Ultimus,8GB,8GB ,Windows 11,,33990,3.7,i5,
"Dell 15, Intel Core i5 13th Gen-1334U, 16GB RAM, 1TB SSD, FHD, 15.6""/39.62cm, Windows 11, MSO 2024, Silver, 1.62kg, [Dell 15], Backlit Keyboard, 15 Month McAfee, Thin & Light, Laptop",Dell,16GB,16GB ,Windows 11,,57926,3.7,i5,
"Lenovo IdeaPad Slim 3 13th Gen Core i7-13620H 15.3"" (38.8cm) WUXGA IPS Laptop (24GB RAM/1TB SSD/Win 11/Office 2024/Backlit/1Yr ADP Free/Top Metal Cover & IR Camera/Grey/1.6Kg),83K100TEIN",Lenovo,24GB,24GB ,Windows 11,,90990,4.1,i7,
Microsoft New Surface Pro (11th Edition) - Windows 11 Home Copilot + PC - 13” OLED PixelSense Touchscreen - Qualcomm Snapdragon X Elite (12 Core) - 32GB RAM - 1TB SSD - Platinum - ZID-00014,Microsoft,32GB,32GB ,Windows 11,,243990,2.9,,
"HP Smartchoice OmniBook 5 (Previously Pavilion) 50 TOPS, AMD Ryzen AI 7 350 (16GB LPDDR5X, 512GB SSD) WUXGA 2K, Touch, 16''/40.6cm, Win11,Office24, Silver, 1.8kg, ag1048au, Next-Gen AI Copilot+ Laptop",HP,16GB,16GB ,Windows 11,,80990,4.0,,
"HP Omen, AMD Ryzen 9 8940HX, 8GB RTX 5070, 24GB DDR5(Upgradeable) 1TB SSD, 240Hz, 2k WUXGA, 3ms, 400 nits, 16''/40.6cm, Win11, M365* Office24, Black, 2.44kg, ap0182AX, RGB, AI Gaming Laptop",HP,8GB,8GB ,Windows 11,,169990,4.2,Ryzen 9,
"HP 15, Intel Core Ultra 5 125H (16GB DDR5, 1TB SSD) FHD, IPS, 15.6''/39.6cm, Win11, M365 Basic(1yr)*Office24, Silver, 1.65kg, fd1354TU, Intel Arc Graphics, FHD Camera w/Shutter, AI Powered Laptop",HP,16GB,16GB ,Windows 11,,69990,4.0,,
"Lenovo Yoga Slim 7 (Smartchoice) Intel Core Ultra 9 185H 14""(35.5cm) WUXGA-OLED Laptop (32GB RAM/1TB SSD/AI PC/Windows 11/Microsoft 365 Basic + Office Home 2024/1Yr ADP Free/Grey/1.39Kg), 83CV00B3IN",Lenovo,32GB,32GB ,Windows 11,,109990,4.1,,
"ASUS Vivobook 15, Intel Core i7 13th Gen 13620H, 16GB RAM, 512GB SSD, FHD 15.6"", Windows 11, Office Home 2024, Quiet Blue, 1.70kg, X1502VA-BQ838WS, Intel UHD iGPU, M365 Basic (1Year)* Laptop",ASUS,16GB,16GB ,Windows 11,,63990,4.0,i7,
"ASUS Gaming V16, Intel Core 7 240H Gaming Laptop(RTX 5060-8GB/16GB RAM/512GB SSD/FHD+/16""/144Hz/Backlit Keyboard/Windows 11/M365 Basic (1Year)*/Office Home 2024/Matte Black/1.95 Kg) V3607VM-RP057WS",ASUS,8GB,8GB,Windows 11,,109990,4.1,,
"ASUS Vivobook Go 15, 7000 Series, AMD Ryzen 3 7320U, 8 GB RAM, 512GB SSD, FHD, Anti-Glare, 15.6"", 39.6 cm, Windows 11 Home, M365 Basic(1yr)* Office24, Cool Silver, 1.63 kg, E1504FA-BQ2321WS, Laptop",ASUS,8GB,8 GB ,Windows 11,,34990,4.0,Ryzen 3,
"Lenovo ThinkPad E14 Intel Core i7 13th Gen 14"" WUXGA IPS 300 Nits Thin and Light Laptop (16GB RAM/512GB SSD/DOS/Backlit Keyboard/Fingerprint/Arctic Grey/ 1Y Onsite/1.41 kg), 21JKS1FR00",Lenovo,16GB,16GB ,,,82490,4.0,i7,
